Date ,Open,High,Low,Close,Change (Pips) ,Change (%) 
"Dec 06, 2020 23:00",0.74316,0.74365,0.74286,0.74303,-1.3,-0.02%
"Dec 06, 2020 22:00",0.74306,0.7434,0.74277,0.74319,1.3,+0.02%
"Dec 04, 2020 21:00",0.74322,0.74332,0.74231,0.74272,-5,-0.07%
"Dec 04, 2020 20:00",0.7439,0.74391,0.74257,0.74319,-7.1,-0.10%
"Dec 04, 2020 19:00",0.7437,0.74417,0.74323,0.7439,2,+0.03%
"Dec 04, 2020 18:00",0.74357,0.74439,0.74348,0.74374,1.7,+0.02%
"Dec 04, 2020 17:00",0.74372,0.74405,0.74319,0.74354,-1.8,-0.02%
"Dec 04, 2020 16:00",0.74327,0.74401,0.74304,0.74375,4.8,+0.06%
"Dec 04, 2020 15:00",0.74378,0.74401,0.74261,0.74328,-5,-0.07%
"Dec 04, 2020 14:00",0.74209,0.74415,0.74184,0.74376,16.7,+0.22%
"Dec 04, 2020 13:00",0.74196,0.74302,0.74103,0.7421,1.4,+0.02%
"Dec 04, 2020 12:00",0.74206,0.74281,0.74185,0.74195,-1.1,-0.01%
"Dec 04, 2020 11:00",0.7425,0.74269,0.74168,0.74206,-4.4,-0.06%
"Dec 04, 2020 10:00",0.74265,0.74265,0.74158,0.74245,-2,-0.03%
"Dec 04, 2020 09:00",0.74186,0.74295,0.74142,0.74266,8,+0.11%
"Dec 04, 2020 08:00",0.74297,0.74357,0.74181,0.74188,-10.9,-0.15%
"Dec 04, 2020 07:00",0.74333,0.7434,0.74275,0.74294,-3.9,-0.05%
"Dec 04, 2020 06:00",0.74256,0.74366,0.74239,0.74335,7.9,+0.11%
"Dec 04, 2020 05:00",0.74276,0.74291,0.74226,0.74256,-2,-0.03%
"Dec 04, 2020 04:00",0.74253,0.743,0.74243,0.74273,2,+0.03%
"Dec 04, 2020 03:00",0.74316,0.74335,0.74227,0.74254,-6.2,-0.08%
"Dec 04, 2020 02:00",0.74311,0.74326,0.74248,0.74318,0.7,+0.01%
"Dec 04, 2020 01:00",0.74381,0.744,0.74265,0.74308,-7.3,-0.10%
"Dec 04, 2020 00:00",0.74359,0.74431,0.74339,0.74379,2,+0.03%
"Dec 03, 2020 23:00",0.74366,0.74436,0.74358,0.74364,-0.2,+0.00%
"Dec 03, 2020 22:00",0.74358,0.74431,0.7434,0.74366,0.8,+0.01%
"Dec 03, 2020 21:00",0.74405,0.74454,0.74378,0.74418,1.3,+0.02%
"Dec 03, 2020 20:00",0.74464,0.74481,0.74305,0.74406,-5.8,-0.08%
"Dec 03, 2020 19:00",0.74396,0.74486,0.74395,0.74461,6.5,+0.09%
"Dec 03, 2020 18:00",0.74434,0.74457,0.74372,0.74394,-4,-0.05%
"Dec 03, 2020 17:00",0.74437,0.74444,0.74363,0.74436,-0.1,+0.00%
"Dec 03, 2020 16:00",0.74455,0.74498,0.7435,0.74441,-1.4,-0.02%
"Dec 03, 2020 15:00",0.74399,0.74466,0.7436,0.7445,5.1,+0.07%
"Dec 03, 2020 14:00",0.74288,0.74432,0.74263,0.74401,11.3,+0.15%
"Dec 03, 2020 13:00",0.74297,0.74346,0.74237,0.74291,-0.6,-0.01%
